iter	RMSE
163	2.162225017
164	2.161722151
165	2.161386354
166	2.161059622
167	2.160692436
168	2.160455393
169	2.159954551
170	2.159684627
171	2.159081362
172	2.158592997
173	2.158345697
174	2.15792024
175	2.157669527
176	2.157454215
177	2.156936867
178	2.156469969
179	2.156098854
180	2.155812037
181	2.155665624
182	2.155255562
183	2.15510096
184	2.154722665
185	2.154495158
186	2.15405556
187	2.153729452
188	2.153419029
189	2.153080911
190	2.152871187
191	2.152424115
192	2.152050604
193	2.151749567
194	2.151465709
195	2.151183814
196	2.150886347
197	2.150574004
198	2.150363603
199	2.150120567
200	2.14966853
201	2.149471837
202	2.149149698
203	2.148927418
204	2.148641337
205	2.148479642
206	2.148101805
207	2.147694113
208	2.147087511
209	2.146713806
210	2.146441757
211	2.146057461
212	2.145672699
213	2.145304823
214	2.14503215
215	2.144668465
216	2.144461784
217	2.144221703
218	2.144092481
219	2.143786926
220	2.143580856
221	2.143274666
222	2.14298823
223	2.142824733
224	2.142425318
225	2.141828271
226	2.141330156
227	2.140956736
228	2.140833579
229	2.140445266
230	2.140005876
231	2.139685778
232	2.139424378
233	2.139182712
234	2.138983163
235	2.138814689
236	2.138676755
237	2.13841061
238	2.138019199
239	2.137483522
240	2.137232109
241	2.136976686
242	2.136768772
243	2.136577761
244	2.136200989
245	2.135975352
246	2.135715365
247	2.135349906
248	2.135094549
249	2.134783446
250	2.134636947
251	2.134452343
252	2.134171314
253	2.133936358
254	2.133700975
255	2.133338567
256	2.133023918
257	2.13278637
258	2.132624559
259	2.132311719
260	2.132062624
261	2.131726085
262	2.131571371
263	2.1313376
264	2.131156359
265	2.131054051
266	2.130738716
267	2.130519884
268	2.130236
269	2.129978163
270	2.129662488
271	2.129296834
272	2.128980728
273	2.128701639
274	2.128538944
275	2.128292532
276	2.128014758
277	2.127668038
278	2.127313229
279	2.126949498
280	2.126780037
281	2.126544971
282	2.126321605
283	2.126027257
284	2.125710033
285	2.125450012
286	2.125253228
287	2.125142858
288	2.124784889
289	2.124676747
290	2.124467519
291	2.124305744
292	2.124221653
293	2.123893094
294	2.123687693
295	2.123318773
296	2.123116161
297	2.122784915
298	2.122543259
299	2.122323816
300	2.12203312
301	2.121735358
302	2.121541669
303	2.121303572
304	2.121057473
305	2.120747963
306	2.120528388
307	2.12028307
308	2.120129035
309	2.119899195
310	2.119719107
311	2.119358197
312	2.119148986
313	2.118988001
314	2.118885532
315	2.118678834
316	2.118427541
317	2.118200718
318	2.118035357
319	2.117733834
320	2.11737407
321	2.117111138
322	2.116712246
323	2.116499995
324	2.116162082
325	2.115935676
326	2.115642905
327	2.115518834
328	2.115312919
329	2.115019387
330	2.114923831
331	2.114831827
332	2.114605044
333	2.114409419
334	2.114166235
335	2.113859702
336	2.113493753
337	2.113226044
338	2.112952938
339	2.112834218
340	2.112552147
341	2.112356376
342	2.112093868
343	2.111762908
344	2.111633588
345	2.111402484
346	2.111204548
347	2.111108358
348	2.110919971
349	2.110810942
350	2.110388181
351	2.11015671
352	2.110016304
353	2.109749348
354	2.109549172
355	2.109298568
356	2.109145471
357	2.108942809
358	2.108622414
359	2.108404437
360	2.108195346
361	2.108086795
362	2.107848244
363	2.1075203
364	2.107282891
365	2.107102774
366	2.106913762
367	2.106698133
368	2.106402928
369	2.106239143
370	2.105969785
371	2.105711673
372	2.105402108
373	2.105251434
374	2.105067758
375	2.104865482
376	2.10459336
377	2.104403297
378	2.104312436
379	2.104092686
380	2.10387664
381	2.103788728
382	2.103484351
383	2.103384553
384	2.10307303
385	2.10289728
386	2.102635252
387	2.102352242
388	2.102118702
389	2.101875996
390	2.101585295
391	2.101400881
392	2.101235126
393	2.101085235
394	2.100880564
395	2.100609977
396	2.100514404
397	2.100340078
398	2.100128139
399	2.099879503
400	2.099661658
401	2.09945161
402	2.099114055
403	2.098961656
404	2.098679764
405	2.098475259
406	2.098326256
407	2.098164659
408	2.097942242
409	2.097727315
410	2.097484294
411	2.0972702
412	2.097045209
413	2.096915486
414	2.096722084
415	2.096498786
416	2.096202325
417	2.096011481
418	2.095870048
419	2.095629493
420	2.095406995
421	2.09526046
422	2.095037989
423	2.094822419
424	2.094761719
425	2.094530786
426	2.094329673
427	2.094271491
428	2.094043605
429	2.093812479
430	2.093555336
431	2.093437996
432	2.093240848
433	2.092925993
434	2.092658361
435	2.092505552
436	2.092377786
437	2.092182413
438	2.091990278
439	2.091576099
440	2.091508211
441	2.091293438
442	2.091036748
443	2.090861299
444	2.090641227
445	2.090387259
446	2.090150236
447	2.089968557
448	2.089897858
449	2.089765125
450	2.089638879
451	2.089414424
452	2.089228959
453	2.089094404
454	2.088911093
455	2.088834595
456	2.088632696
457	2.088460107
458	2.088289718
459	2.088084371
460	2.087863345
461	2.087588843
462	2.087370128
463	2.087121851
464	2.086920472
465	2.086792153
466	2.086517346
467	2.086316214
468	2.08621839
469	2.086066066
470	2.085913677
471	2.085723519
472	2.085618615
473	2.085440457
474	2.085372345
475	2.085205906
476	2.084952754
477	2.084718841
478	2.084511505
479	2.084329042
480	2.084197233
481	2.084028412
482	2.083720211
483	2.083498848
484	2.083270065
485	2.08306041
486	2.082824456
487	2.082640392
488	2.082505881
489	2.08237192
490	2.082221478
491	2.082068041
492	2.081958482
493	2.081864052
494	2.08178973
495	2.081598224
496	2.081404704
497	2.081337976
498	2.081166551
499	2.080959187
500	2.080592366
501	2.080371233
502	2.080261534
503	2.080056397
504	2.079925156
505	2.079689763
506	2.079361236
507	2.079221132
508	2.079054437
509	2.078844348
510	2.078652939
511	2.078455959
512	2.078277755
513	2.078157025
514	2.077956959
515	2.077867082
516	2.077684227
517	2.077527671
518	2.077422791
519	2.077225192
520	2.07713015
521	2.076925995
522	2.076731292
523	2.076588666
524	2.076410149
525	2.076275848
526	2.076084382
527	2.075920014
528	2.075748504
529	2.075653244
530	2.075562386
531	2.075424646
532	2.075284561
533	2.075125236
534	2.074856867
535	2.074716611
536	2.074550413
537	2.07443197
538	2.074352829
539	2.074158573
540	2.074043918
541	2.073861795
542	2.073571851
543	2.073315615
544	2.073164556
545	2.072957811
546	2.072781294
547	2.072649827
548	2.072517197
549	2.072388149
550	2.072288476
551	2.072104972
552	2.071976481
553	2.071803863
554	2.071602646
555	2.07140875
556	2.071290149
557	2.071112195
558	2.070983019
559	2.070928426
560	2.070726818
561	2.070620617
562	2.070472316
563	2.070272991
564	2.070120857
565	2.069966016
566	2.069833434
567	2.069699367
568	2.069516132
569	2.069344392
570	2.069198268
571	2.068957634
572	2.068745888
573	2.068517345
574	2.068322014
575	2.068103428
576	2.067906573
577	2.067795971
578	2.067690359
579	2.067500039
580	2.067364299
581	2.067220833
582	2.067161293
583	2.066939361
584	2.066783871
585	2.066572007
586	2.066399168
587	2.066236068
588	2.066072337
589	2.065865319
590	2.065698392
591	2.065435827
592	2.065304688
593	2.065118313
594	2.064975205
595	2.064898
596	2.064833559
597	2.064705425
598	2.064581012
599	2.064489642
600	2.064334421
601	2.064187173
602	2.064082845
603	2.063912235
604	2.063803477
605	2.063599382
606	2.063470774
607	2.063257786
608	2.063166181
609	2.063031218
610	2.062861429
611	2.062752456
612	2.062676289
613	2.062536301
614	2.062380428
615	2.062221133
616	2.062035646
617	2.061831119
618	2.061694119
619	2.061500439
620	2.061356132
621	2.06109902
622	2.060980487
623	2.060800443
624	2.060686573
625	2.060557001
626	2.060332597
627	2.060149202
628	2.059995983
629	2.05988335
630	2.059732685
631	2.059546897
632	2.059337939
633	2.059164305
634	2.05908783
635	2.05894143
636	2.058762666
637	2.058576091
638	2.058483951
639	2.058353656
640	2.058212899
641	2.058108465
642	2.057941613
643	2.057761419
644	2.057606211
645	2.057467435
646	2.05736152
647	2.057239008
648	2.057068373
649	2.056879846
650	2.056750616
651	2.056585422
652	2.056471643
653	2.056356307
654	2.056221278
655	2.056178027
656	2.056064836
657	2.055869608
658	2.055757904
659	2.055598928
660	2.055443996
661	2.055291861
662	2.055047774
663	2.054899354
664	2.054758584
665	2.054555719
666	2.054440805
667	2.054287832
668	2.054086451
669	2.05391049
670	2.05377807
671	2.053630738
672	2.05351134
673	2.053401945
674	2.053241648
675	2.053083991
676	2.052964979
677	2.052791947
678	2.052694406
679	2.052530661
680	2.052420357
681	2.052348322
682	2.052259096
683	2.052132244
684	2.051947568
685	2.051796038
686	2.051652601
687	2.051539546
688	2.051371828
689	2.051094411
690	2.051019425
691	2.050878103
692	2.050776218
693	2.050646912
694	2.050510898
695	2.050318952
696	2.050213778
697	2.050049927
698	2.050004306
699	2.049852483
700	2.04965347
701	2.049492665
702	2.049372208
703	2.049240844
704	2.049105118
705	2.048958102
706	2.048819573
707	2.048700376
708	2.048621303
709	2.048528283
710	2.048351558
711	2.048188907
712	2.048050842
713	2.047908758
714	2.047771976
715	2.047618389
716	2.04746933
717	2.047300085
718	2.047175786
719	2.04707617
720	2.046955775
721	2.0467704
722	2.046558129
723	2.046456756
724	2.046350748
725	2.046117424
726	2.046015829
727	2.045887139
728	2.045733658
729	2.045585588
730	2.045485697
731	2.045405481
732	2.045274552
733	2.045184762
734	2.04503367
735	2.044881369
736	2.044811138
737	2.044674944
738	2.044558471
739	2.044377192
740	2.044242279
741	2.044110845
742	2.044003832
743	2.04388432
744	2.043747553
745	2.043611113
746	2.043464643
747	2.043296578
748	2.043174167
749	2.043017706
750	2.042831536
751	2.042644044
752	2.042523576
753	2.042379256
754	2.042200057
755	2.042070849
756	2.041914156
757	2.041721246
758	2.041572116
759	2.041401475
760	2.041288977
761	2.041148498
762	2.041013011
763	2.040891428
764	2.040786199
765	2.040679147
766	2.040623178
767	2.040478446
768	2.040365939
769	2.040270596
770	2.040142308
771	2.040047173
772	2.039882271
773	2.039790072
774	2.039689825
775	2.039564454
776	2.039411231
777	2.039276484
778	2.039024327
779	2.038930453
780	2.038751339
781	2.038556686
782	2.038417259
783	2.038271662
784	2.038100505
785	2.037957474
786	2.037872841
787	2.037657673
788	2.037529612
789	2.037361502
790	2.037261145
791	2.037089072
792	2.036961556
793	2.036838872
794	2.036733636
795	2.036620627
796	2.036553603
797	2.036323489
798	2.036208354
799	2.036041082
800	2.03585069
801	2.035726842
802	2.035681633
803	2.035555715
804	2.035421938
805	2.035327504
806	2.035165477
807	2.035048908
808	2.034939265
809	2.034816714
810	2.034735615
811	2.034629866
812	2.034533212
813	2.034396682
814	2.034321552
815	2.034122584
816	2.034031614
817	2.033970357
818	2.033857658
819	2.033712141
820	2.033567211
821	2.033463292
822	2.033411262
823	2.033294791
824	2.033174835
825	2.033073983
826	2.032944025
827	2.032881467
828	2.032734753
829	2.03261578
830	2.032381095
831	2.03226073
832	2.0321083
833	2.031957451
834	2.031871622
835	2.031629875
836	2.03151285
837	2.031363224
838	2.031193487
839	2.031005067
840	2.030895575
841	2.030788258
842	2.030647257
843	2.030525502
844	2.030409821
845	2.03030487
846	2.030162702
847	2.030038703
848	2.029921213
849	2.029830963
850	2.029658279
851	2.029506452
852	2.029398233
853	2.029324404
854	2.029187505
855	2.029077307
856	2.028872022
857	2.028773948
858	2.028610845
859	2.028500493
860	2.028403767
861	2.028341277
862	2.028126658
863	2.027978799
864	2.02780928
865	2.027729932
866	2.027558566
867	2.027380691
868	2.027226473
869	2.027092895
870	2.027006145
871	2.02689346
872	2.026749344
873	2.026605124
874	2.026487491
875	2.026369223
876	2.026202897
877	2.026030422
878	2.025903852
879	2.025806708
880	2.025700898
881	2.025637071
882	2.025485472
883	2.025385608
884	2.025252508
885	2.025058066
886	2.024924943
887	2.024777189
888	2.024615303
889	2.024439419
890	2.024202574
891	2.024054662
892	2.023977327
893	2.023868407
894	2.02375346
895	2.023627126
896	2.023559131
897	2.023428764
898	2.023308191
899	2.02323134
900	2.023023463
901	2.02290775
902	2.022751628
903	2.022631465
904	2.022524504
905	2.022421749
906	2.022299594
907	2.022194098
908	2.022010593
909	2.021901369
910	2.021857153
911	2.021778906
912	2.021708465
913	2.021601718
914	2.021454221
915	2.021301505
916	2.021233919
917	2.021096692
918	2.020947304
919	2.020883677
920	2.020816248
921	2.020673977
922	2.020579057
923	2.020524161
924	2.020399837
925	2.02034062
926	2.020166639
927	2.020078836
928	2.020023043
929	2.019933467
930	2.019818396
931	2.0196714
932	2.019559872
933	2.019477983
934	2.019377319
935	2.019202605
936	2.01901252
937	2.018889683
938	2.018799727
939	2.018684553
940	2.018562432
941	2.018492162
942	2.01838773
943	2.018245103
944	2.018186667
945	2.018012196
946	2.017897152
947	2.017781142
948	2.017693405
949	2.017514199
950	2.017330938
951	2.017254564
952	2.017109258
953	2.017010431
954	2.016885781
955	2.016775659
956	2.016699569
957	2.0166454
958	2.016571714
959	2.01647233
960	2.016362627
961	2.016260911
962	2.016143798
963	2.016014524
964	2.015833983
965	2.015740269
966	2.01570484
967	2.015567649
968	2.015480184
969	2.015329778
970	2.015182669
971	2.015000625
972	2.014903985
973	2.014788132
974	2.014688192
975	2.014519979
976	2.014414824
977	2.014325816
978	2.014246831
979	2.014117769
980	2.014016408
981	2.013926614
982	2.013820614
983	2.013737584
984	2.013607826
985	2.013470575
986	2.013358818
987	2.013222712
988	2.013153486
989	2.01298487
990	2.01284632
991	2.012773796
992	2.012684012
993	2.012576876
994	2.012480627
995	2.012354014
996	2.012202039
997	2.012117651
998	2.011999565
999	2.011916843
